135.0	0	0
135.0	0	0
135.0	0	0
135.0	0	0
135.0	0	0
135.0	0	0
135.0	0	0
135.0	0	0
135.0	0	0
135.01	0	0
135.01	0	0
135.01	0	0
135.01	0	0
135.01	0	0
135.01	0	0
135.01	0	0
135.01	0	0
135.01	0	0
135.01	0	0
135.01	0	0
135.01	0	0
135.01	0	0
135.01	0	0
135.01	0	0
135.01	0	0
135.01	0	0
135.01	0	0
135.01	0	0
135.02	0	0
135.02	0	0
135.02	0	0
135.02	0	0
135.02	0	0
135.02	0	0
135.02	0	0
135.02	0	0
135.02	0	0
135.02	0	0
135.02	0	0
135.02	0	0
135.02	0	0
135.02	0	0
135.02	0	0
135.02	0	0
135.02	0	0
135.02	0	0
135.02	0	0
135.02	0	0
135.03	0	0
135.03	0	0
135.03	0	0
135.03	0	0
135.03	0	0
135.03	0	0
135.03	0	0
135.03	0	0
135.03	0	0
135.03	0	0
135.03	0	0
135.03	0	0
135.03	0	0
135.03	0	0
135.03	0	0
135.03	0	0
135.03	0	0
135.03	0	0
135.03	0	0
135.04	0	0
135.04	0	0
135.04	0	0
135.04	0	0
135.04	0	0
135.04	0	0
135.04	0	0
135.04	0	0
135.04	0	0
135.04	0	0
135.04	0	0
135.04	0	0
135.04	0	0
135.04	0	0
135.04	0	0
135.04	0	0
135.04	0	0
135.04	0	0
135.04	0	0
135.05	0	0
135.05	0	0
135.05	0	0
135.05	0	0
135.05	0	0
135.05	0	0
135.05	0	0
135.05	0	0
135.05	0	0
135.05	0	0
135.05	0	0
135.05	0	0
135.05	0	0
135.05	0	0
135.05	0	0
135.05	0	0
135.05	0	0
135.05	0	0
135.05	0	0
135.06	0	0
135.06	0	0
135.06	0	0
135.06	0	0
135.06	0	0
135.06	0	0
135.06	0	0
135.06	0	0
135.06	0	0
135.06	0	0
135.06	0	0
135.06	0	0
135.06	0	0
135.06	0	0
135.06	0	0
135.06	0	0
135.06	0	0
135.06	0	0
135.06	0	0
135.06	0	0
135.07	0	0
135.07	0	0
135.07	0	0
135.07	0	0
135.07	0	0
135.07	0	0
135.07	0	0
135.07	0	0
135.07	0	0
135.07	0	0
135.07	0	0
135.07	0	0
135.07	0	0
135.07	0	0
135.07	0	0
135.07	0	0
135.07	0	0
135.07	0	0
135.07	0	0
135.08	0	0
135.08	0	0
135.08	0	0
135.08	0	0
135.08	0	0
135.08	0	0
135.08	0	0
135.08	0	0
135.08	0	0
135.08	0	0
135.08	0	0
135.08	0	0
135.08	0	0
135.08	0	0
135.08	0	0
135.08	0	0
135.08	0	0
135.08	0	0
135.08	0	0
135.09	0	0
135.09	0	0
135.09	0	0
135.09	0	0
135.09	0	0
135.09	0	0
135.09	0	0
135.09	0	0
135.09	0	0
135.09	0	0
135.09	0	0
135.09	0	0
135.09	0	0
135.09	0	0
135.09	0	0
135.09	0	0
135.09	0	0
135.09	0	0
135.09	0	0
135.09	0	0
135.1	0	0
135.1	0	0
135.1	0	0
135.1	0	0
135.1	0	0
135.1	0	0
135.1	0	0
135.1	0	0
135.1	0	0
135.1	0	0
135.1	0	0
135.1	0	0
135.1	0	0
135.1	0	0
135.1	0	0
135.1	0	0
135.1	0	0
135.1	0	0
135.1	0	0
135.11	0	0
135.11	0	0
135.11	0	0
135.11	0	0
135.11	0	0
135.11	0	0
135.11	0	0
135.11	0	0
135.11	0	0
135.11	0	0
135.11	0	0
135.11	0	0
135.11	0	0
135.11	0	0
135.11	0	0
135.11	0	0
135.11	0	0
135.11	0	0
135.11	0	0
135.12	0	0
135.12	0	0
135.12	0	0
135.12	0	0
135.12	0	0
135.12	0	0
135.12	0	0
135.12	0	0
135.12	0	0
135.12	0	0
135.12	0	0
135.12	0	0
135.12	0	0
135.12	0	0
135.12	0	0
135.12	0	0
135.12	0	0
135.12	0	0
135.12	0	0
135.13	0	0
135.13	0	0
135.13	0	0
135.13	0	0
135.13	0	0
135.13	0	0
135.13	0	0
135.13	0	0
135.13	0	0
135.13	0	0
135.13	0	0
135.13	0	0
135.13	0	0
135.13	0	0
135.13	0	0
135.13	0	0
135.13	0	0
135.13	0	0
135.13	0	0
135.13	0	0
135.14	0	0
135.14	0	0
135.14	0	0
135.14	0	0
135.14	0	0
135.14	0	0
135.14	0	0
135.14	0	0
135.14	0	0
135.14	0	0
135.14	0	0
135.14	0	0
135.14	0	0
135.14	0	0
135.14	0	0
135.14	0	0
135.14	0	0
135.14	0	0
135.14	0	0
135.15	0	0
135.15	0	0
135.15	0	0
135.15	0	0
135.15	0	0
135.15	0	0
135.15	0	0
135.15	0	0
135.15	0	0
135.15	0	0
135.15	0	0
135.15	0	0
135.15	0	0
135.15	0	0
135.15	0	0
135.15	0	0
135.15	0	0
135.15	0	0
135.15	0	0
135.16	0	0
135.16	0	0
135.16	0	0
135.16	0	0
135.16	0	0
135.16	0	0
135.16	0	0
135.16	0	0
135.16	0	0
135.16	0	0
135.16	0	0
135.16	0	0
135.16	0	0
135.16	0	0
135.16	0	0
135.16	0	0
135.16	0	0
135.16	0	0
135.16	0	0
135.17	0	0
135.17	0	0
135.17	0	0
135.17	0	0
135.17	0	0
135.17	0	0
135.17	0	0
135.17	0	0
135.17	0	0
135.17	0	0
135.17	0	0
135.17	0	0
135.17	0	0
135.17	0	0
135.17	0	0
135.17	0	0
135.17	0	0
135.17	0	0
135.17	0	0
135.18	0	0
135.18	0	0
135.18	0	0
135.18	0	0
135.18	0	0
135.18	0	0
135.18	0	0
135.18	0	0
135.18	0	0
135.18	0	0
135.18	0	0
135.18	0	0
135.18	0	0
135.18	0	0
135.18	0	0
135.18	0	0
135.18	0	0
135.18	0	0
135.18	0	0
135.18	0	0
135.19	0	0
135.19	0	0
135.19	0	0
135.19	0	0
135.19	0	0
135.19	0	0
135.19	0	0
135.19	0	0
135.19	0	0
135.19	0	0
135.19	0	0
135.19	0	0
135.19	0	0
135.19	0	0
135.19	0	0
135.19	0	0
135.19	0	0
135.19	0	0
135.19	0	0
135.2	0	0
135.2	0	0
135.2	0	0
135.2	0	0
135.2	0	0
135.2	0	0
135.2	0	0
135.2	0	0
135.2	0	0
135.2	0	0
135.2	0	0
135.2	0	0
135.2	0	0
135.2	0	0
135.2	0	0
135.2	0	0
135.2	0	0
135.2	0	0
135.2	0	0
135.21	0	0
135.21	0	0
135.21	0	0
135.21	0	0
135.21	0	0
135.21	0	0
135.21	0	0
135.21	0	0
135.21	0	0
135.21	0	0
135.21	0	0
135.21	0	0
135.21	0	0
135.21	0	0
135.21	0	0
135.21	0	0
135.21	0	0
135.21	0	0
135.21	0	0
135.22	0	0
135.22	0	0
135.22	0	0
135.22	0	0
135.22	0	0
135.22	0	0
135.22	0	0
135.22	0	0
135.22	0	0
135.22	0	0
135.22	0	0
135.22	0	0
135.22	0	0
135.22	0	0
135.22	0	0
135.22	0	0
135.22	0	0
135.22	0	0
135.22	0	0
135.22	0	0
135.23	0	0
135.23	0	0
135.23	0	0
135.23	0	0
135.23	0	0
135.23	0	0
135.23	0	0
135.23	0	0
135.23	0	0
135.23	0	0
135.23	0	0
135.23	0	0
135.23	0	0
135.23	0	0
135.23	0	0
135.23	0	0
135.23	0	0
135.23	0	0
135.23	0	0
135.24	0	0
135.24	0	0
135.24	0	0
135.24	0	0
135.24	0	0
135.24	0	0
135.24	0	0
135.24	0	0
135.24	0	0
135.24	0	0
135.24	0	0
135.24	0	0
135.24	0	0
135.24	0	0
135.24	0	0
135.24	0	0
135.24	0	0
135.24	0	0
135.24	0	0
135.25	0	0
135.25	0	0
135.25	0	0
135.25	0	0
135.25	0	0
135.25	0	0
135.25	0	0
135.25	0	0
135.25	0	0
135.25	0	0
135.25	0	0
135.25	0	0
135.25	0	0
135.25	0	0
135.25	0	0
135.25	0	0
135.25	0	0
135.25	0	0
135.25	0	0
135.25	0	0
135.26	0	0
135.26	0	0
135.26	0	0
135.26	0	0
135.26	0	0
135.26	0	0
135.26	0	0
135.26	0	0
135.26	0	0
135.26	0	0
135.26	0	0
135.26	0	0
135.26	0	0
135.26	0	0
135.26	0	0
135.26	0	0
135.26	0	0
135.26	0	0
135.26	0	0
135.27	0	0
135.27	0	0
135.27	0	0
135.27	0	0
135.27	0	0
135.27	0	0
135.27	0	0
135.27	0	0
135.27	0	0
135.27	0	0
135.27	0	0
135.27	0	0
135.27	0	0
135.27	0	0
135.27	0	0
135.27	0	0
135.27	0	0
135.27	0	0
135.27	0	0
135.28	0	0
135.28	0	0
135.28	0	0
135.28	0	0
135.28	0	0
135.28	0	0
135.28	0	0
135.28	0	0
135.28	0	0
135.28	0	0
135.28	0	0
135.28	0	0
135.28	0	0
135.28	0	0
135.28	0	0
135.28	0	0
135.28	0	0
135.28	0	0
135.28	0	0
135.29	0	0
135.29	0	0
135.29	0	0
135.29	0	0
135.29	0	0
135.29	0	0
135.29	0	0
135.29	0	0
135.29	0	0
135.29	0	0
135.29	0	0
135.29	0	0
135.29	0	0
135.29	0	0
135.29	0	0
135.29	0	0
135.29	0	0
135.29	0	0
135.29	0	0
135.29	0	0
135.3	0	0
135.3	0	0
135.3	0	0
135.3	0	0
135.3	0	0
135.3	0	0
135.3	0	0
135.3	0	0
135.3	0	0
135.3	0	0
135.3	0	0
135.3	0	0
135.3	0	0
135.3	0	0
135.3	0	0
135.3	0	0
135.3	0	0
135.3	0	0
135.3	0	0
135.31	0	0
135.31	0	0
135.31	0	0
135.31	0	0
135.31	0	0
135.31	0	0
135.31	0	0
135.31	0	0
135.31	0	0
135.31	0	0
135.31	0	0
135.31	0	0
135.31	0	0
135.31	0	0
135.31	0	0
135.31	0	0
135.31	0	0
135.31	0	0
135.31	0	0
135.32	0	0
135.32	0	0
135.32	0	0
135.32	0	0
135.32	0	0
135.32	0	0
135.32	0	0
135.32	0	0
135.32	0	0
135.32	0	0
135.32	0	0
135.32	0	0
135.32	0	0
135.32	0	0
135.32	0	0
135.32	0	0
135.32	0	0
135.32	0	0
135.32	0	0
135.32	0	0
135.33	0	0
135.33	0	0
135.33	0	0
135.33	0	0
135.33	0	0
135.33	0	0
135.33	0	0
135.33	0	0
135.33	0	0
135.33	0	0
135.33	0	0
135.33	0	0
135.33	0	0
135.33	0	0
135.33	0	0
135.33	0	0
135.33	0	0
135.33	0	0
135.33	0	0
135.34	0	0
135.34	0	0
135.34	0	0
135.34	0	0
135.34	0	0
135.34	0	0
135.34	0	0
135.34	0	0
135.34	0	0
135.34	0	0
135.34	0	0
135.34	0	0
135.34	0	0
135.34	0	0
135.34	0	0
135.34	0	0
135.34	0	0
135.34	0	0
135.34	0	0
135.35	0	0
135.35	0	0
135.35	0	0
135.35	0	0
135.35	0	0
135.35	0	0
135.35	0	0
135.35	0	0
135.35	0	0
135.35	0	0
135.35	0	0
135.35	0	0
135.35	0	0
135.35	0	0
135.35	0	0
135.35	0	0
135.35	0	0
135.35	0	0
135.35	0	0
135.36	0	0
135.36	0	0
135.36	0	0
135.36	0	0
135.36	0	0
135.36	0	0
135.36	0	0
135.36	0	0
135.36	0	0
135.36	0	0
135.36	0	0
135.36	0	0
135.36	0	0
135.36	0	0
135.36	0	0
135.36	0	0
135.36	0	0
135.36	0	0
135.36	0	0
135.37	0	0
135.37	0	0
135.37	0	0
135.37	0	0
135.37	0	0
135.37	0	0
135.37	0	0
135.37	0	0
135.37	0	0
135.37	0	0
135.37	0	0
135.37	0	0
135.37	0	0
135.37	0	0
135.37	0	0
135.37	0	0
135.37	0	0
135.37	0	0
135.37	0	0
135.37	0	0
135.38	0	0
135.38	0	0
135.38	0	0
135.38	0	0
135.38	0	0
135.38	0	0
135.38	0	0
135.38	0	0
135.38	0	0
135.38	0	0
135.38	0	0
135.38	0	0
135.38	0	0
135.38	0	0
135.38	0	0
135.38	0	0
135.38	0	0
135.38	0	0
135.38	0	0
135.39	0	0
135.39	0	0
135.39	0	0
135.39	0	0
135.39	0	0
135.39	0	0
135.39	0	0
135.39	0	0
135.39	0	0
135.39	0	0
135.39	0	0
135.39	0	0
135.39	0	0
135.39	0	0
135.39	0	0
135.39	0	0
135.39	0	0
135.39	0	0
135.39	0	0
135.4	0	0
135.4	0	0
135.4	0	0
135.4	0	0
135.4	0	0
135.4	0	0
135.4	0	0
135.4	0	0
135.4	0	0
135.4	0	0
135.4	0	0
135.4	0	0
135.4	0	0
135.4	0	0
135.4	0	0
135.4	0	0
135.4	0	0
135.4	0	0
135.4	0	0
135.41	0	0
135.41	0	0
135.41	0	0
135.41	0	0
135.41	0	0
135.41	0	0
135.41	0	0
135.41	0	0
135.41	0	0
135.41	0	0
135.41	0	0
135.41	0	0
135.41	0	0
135.41	0	0
135.41	0	0
135.41	0	0
135.41	0	0
135.41	0	0
135.41	0	0
135.41	0	0
135.42	0	0
135.42	0	0
135.42	0	0
135.42	0	0
135.42	0	0
135.42	0	0
135.42	0	0
135.42	0	0
135.42	0	0
135.42	0	0
135.42	0	0
135.42	0	0
135.42	0	0
135.42	0	0
135.42	0	0
135.42	0	0
135.42	0	0
135.42	0	0
135.42	0	0
135.43	0	0
135.43	0	0
135.43	0	0
135.43	0	0
135.43	0	0
135.43	0	0
135.43	0	0
135.43	0	0
135.43	0	0
135.43	0	0
135.43	0	0
135.43	0	0
135.43	0	0
135.43	0	0
135.43	0	0
135.43	0	0
135.43	0	0
135.43	0	0
135.43	0	0
135.44	0	0
135.44	0	0
135.44	0	0
135.44	0	0
135.44	0	0
135.44	0	0
135.44	0	0
135.44	0	0
135.44	0	0
135.44	0	0
135.44	0	0
135.44	0	0
135.44	0	0
135.44	0	0
135.44	0	0
135.44	0	0
135.44	0	0
135.44	0	0
135.44	0	0
135.44	0	0
135.45	0	0
135.45	0	0
135.45	0	0
135.45	0	0
135.45	0	0
135.45	0	0
135.45	0	0
135.45	0	0
135.45	0	0
135.45	0	0
135.45	0	0
135.45	0	0
135.45	0	0
135.45	0	0
135.45	0	0
135.45	0	0
135.45	0	0
135.45	0	0
135.45	0	0
135.46	0	0
135.46	0	0
135.46	0	0
135.46	0	0
135.46	0	0
135.46	0	0
135.46	0	0
135.46	0	0
135.46	0	0
135.46	0	0
135.46	0	0
135.46	0	0
135.46	0	0
135.46	0	0
135.46	0	0
135.46	0	0
135.46	0	0
135.46	0	0
135.46	0	0
135.47	0	0
135.47	0	0
135.47	0	0
135.47	0	0
135.47	0	0
135.47	0	0
135.47	0	0
135.47	0	0
135.47	0	0
135.47	0	0
135.47	0	0
135.47	0	0
135.47	0	0
135.47	0	0
135.47	0	0
135.47	0	0
135.47	0	0
135.47	0	0
135.47	0	0
135.48	0	0
135.48	0	0
135.48	0	0
135.48	0	0
135.48	0	0
135.48	0	0
135.48	0	0
135.48	0	0
135.48	0	0
135.48	0	0
135.48	0	0
135.48	0	0
135.48	0	0
135.48	0	0
135.48	0	0
135.48	0	0
135.48	0	0
135.48	0	0
135.48	0	0
135.49	0	0
135.49	0	0
135.49	0	0
135.49	0	0
135.49	0	0
135.49	0	0
135.49	0	0
135.49	0	0
135.49	0	0
135.49	0	0
135.49	0	0
135.49	0	0
135.49	0	0
135.49	0	0
135.49	0	0
135.49	0	0
135.49	0	0
135.49	0	0
135.49	0	0
135.49	0	0
135.5	0	0
135.5	0	0
135.5	0	0
135.5	0	0
135.5	0	0
135.5	0	0
135.5	0	0
135.5	0	0
135.5	0	0
135.5	0	0
135.5	0	0
135.5	0	0
135.5	0	0
135.5	0	0
135.5	0	0
135.5	0	0
135.5	0	0
135.5	0	0
135.5	0	0
135.51	0	0
135.51	0	0
135.51	0	0
135.51	0	0
135.51	0	0
135.51	0	0
135.51	0	0
135.51	0	0
135.51	0	0
135.51	0	0
135.51	0	0
135.51	0	0
135.51	0	0
135.51	0	0
135.51	0	0
135.51	0	0
135.51	0	0
135.51	0	0
135.51	0	0
135.52	0	0
135.52	0	0
135.52	0	0
135.52	0	0
135.52	0	0
135.52	0	0
135.52	0	0
135.52	0	0
135.52	0	0
135.52	0	0
135.52	0	0
135.52	0	0
135.52	0	0
135.52	0	0
135.52	0	0
135.52	0	0
135.52	0	0
135.52	0	0
135.52	0	0
135.52	0	0
135.53	0	0
135.53	0	0
135.53	0	0
135.53	0	0
135.53	0	0
135.53	0	0
135.53	0	0
135.53	0	0
135.53	0	0
135.53	0	0
135.53	0	0
135.53	0	0
135.53	0	0
135.53	0	0
135.53	0	0
135.53	0	0
135.53	0	0
135.53	0	0
135.53	0	0
135.54	0	0
135.54	0	0
135.54	0	0
135.54	0	0
135.54	0	0
135.54	0	0
135.54	0	0
135.54	0	0
135.54	0	0
135.54	0	0
135.54	0	0
135.54	0	0
135.54	0	0
135.54	0	0
135.54	0	0
135.54	0	0
135.54	0	0
135.54	0	0
135.54	0	0
135.55	0	0
135.55	0	0
135.55	0	0
135.55	0	0
135.55	0	0
135.55	0	0
135.55	0	0
135.55	0	0
135.55	0	0
135.55	0	0
135.55	0	0
135.55	0	0
135.55	0	0
135.55	0	0
135.55	0	0
135.55	0	0
135.55	0	0
135.55	0	0
135.55	0	0
135.56	0	0
135.56	0	0
135.56	0	0
135.56	0	0
135.56	0	0
135.56	0	0
135.56	0	0
135.56	0	0
135.56	0	0
135.56	0	0
135.56	0	0
135.56	0	0
135.56	0	0
135.56	0	0
135.56	0	0
135.56	0	0
135.56	0	0
135.56	0	0
135.56	0	0
135.56	0	0
135.57	0	0
135.57	0	0
135.57	0	0
135.57	0	0
135.57	0	0
135.57	0	0
135.57	0	0
135.57	0	0
135.57	0	0
135.57	0	0
135.57	0	0
135.57	0	0
135.57	0	0
135.57	0	0
135.57	0	0
135.57	0	0
135.57	0	0
135.57	0	0
135.57	0	0
135.58	0	0
135.58	0	0
135.58	0	0
135.58	0	0
135.58	0	0
135.58	0	0
135.58	0	0
135.58	0	0
135.58	0	0
135.58	0	0
135.58	0	0
135.58	0	0
135.58	0	0
135.58	0	0
135.58	0	0
135.58	0	0
135.58	0	0
135.58	0	0
135.58	0	0
135.59	0	0
135.59	0	0
135.59	0	0
135.59	0	0
135.59	0	0
135.59	0	0
135.59	0	0
135.59	0	0
135.59	0	0
135.59	0	0
135.59	0	0
135.59	0	0
135.59	0	0
135.59	0	0
135.59	0	0
135.59	0	0
135.59	0	0
135.59	0	0
135.59	0	0
135.59	0	0
135.6	0	0
135.6	0	0
135.6	0	0
135.6	0	0
135.6	0	0
135.6	0	0
135.6	0	0
135.6	0	0
135.6	0	0
135.6	0	0
135.6	0	0
135.6	0	0
135.6	0	0
135.6	0	0
135.6	0	0
135.6	0	0
135.6	0	0
135.6	0	0
135.6	0	0
135.61	0	0
135.61	0	0
135.61	0	0
135.61	0	0
135.61	0	0
135.61	0	0
135.61	0	0
135.61	0	0
135.61	0	0
135.61	0	0
135.61	0	0
135.61	0	0
135.61	0	0
135.61	0	0
135.61	0	0
135.61	0	0
135.61	0	0
135.61	0	0
135.61	0	0
135.62	0	0
135.62	0	0
135.62	0	0
135.62	0	0
135.62	0	0
135.62	0	0
135.62	0	0
135.62	0	0
135.62	0	0
135.62	0	0
135.62	0	0
135.62	0	0
135.62	0	0
135.62	0	0
135.62	0	0
135.62	0	0
135.62	0	0
135.62	0	0
135.62	0	0
135.63	0	0
135.63	0	0
135.63	0	0
135.63	0	0
135.63	0	0
135.63	0	0
135.63	0	0
135.63	0	0
135.63	0	0
135.63	0	0
135.63	0	0
135.63	0	0
135.63	0	0
135.63	0	0
135.63	0	0
135.63	0	0
135.63	0	0
135.63	0	0
135.63	0	0
135.63	0	0
135.64	0	0
135.64	0	0
135.64	0	0
135.64	0	0
135.64	0	0
135.64	0	0
135.64	0	0
135.64	0	0
135.64	0	0
135.64	0	0
135.64	0	0
135.64	0	0
135.64	0	0
135.64	0	0
135.64	0	0
135.64	0	0
135.64	0	0
135.64	0	0
135.64	0	0
135.65	0	0
135.65	0	0
135.65	0	0
135.65	0	0
135.65	0	0
135.65	0	0
135.65	0	0
135.65	0	0
135.65	0	0
135.65	0	0
135.65	0	0
135.65	0	0
135.65	0	0
135.65	0	0
135.65	0	0
135.65	0	0
135.65	0	0
135.65	0	0
135.65	0	0
135.66	0	0
135.66	0	0
135.66	0	0
135.66	0	0
135.66	0	0
135.66	0	0
135.66	0	0
135.66	0	0
135.66	0	0
135.66	0	0
135.66	0	0
135.66	0	0
135.66	0	0
135.66	0	0
135.66	0	0
135.66	0	0
135.66	0	0
135.66	0	0
135.66	0	0
135.67	0	0
135.67	0	0
135.67	0	0
135.67	0	0
135.67	0	0
135.67	0	0
135.67	0	0
135.67	0	0
135.67	0	0
135.67	0	0
135.67	0	0
135.67	0	0
135.67	0	0
135.67	0	0
135.67	0	0
135.67	0	0
135.67	0	0
135.67	0	0
135.67	0	0
135.68	0	0
135.68	0	0
135.68	0	0
135.68	0	0
135.68	0	0
135.68	0	0
135.68	0	0
135.68	0	0
135.68	0	0
135.68	0	0
135.68	0	0
135.68	0	0
135.68	0	0
135.68	0	0
135.68	0	0
135.68	0	0
135.68	0	0
135.68	0	0
135.68	0	0
135.68	0	0
135.69	0	0
135.69	0	0
135.69	0	0
135.69	0	0
135.69	0	0
135.69	0	0
135.69	0	0
135.69	0	0
135.69	0	0
135.69	0	0
135.69	0	0
135.69	0	0
135.69	0	0
135.69	0	0
135.69	0	0
135.69	0	0
135.69	0	0
135.69	0	0
135.69	0	0
135.7	0	0
135.7	0	0
135.7	0	0
135.7	0	0
135.7	0	0
135.7	0	0
135.7	0	0
135.7	0	0
135.7	0	0
135.7	0	0
135.7	0	0
135.7	0	0
135.7	0	0
135.7	0	0
135.7	0	0
135.7	0	0
135.7	0	0
135.7	0	0
135.7	0	0
135.71	0	0
135.71	0	0
135.71	0	0
135.71	0	0
135.71	0	0
135.71	0	0
135.71	0	0
135.71	0	0
135.71	0	0
135.71	0	0
135.71	0	0
135.71	0	0
135.71	0	0
135.71	0	0
135.71	0	0
135.71	0	0
135.71	0	0
135.71	0	0
135.71	0	0
135.72	0	0
135.72	0	0
135.72	0	0
135.72	0	0
135.72	0	0
135.72	0	0
135.72	0	0
135.72	0	0
135.72	0	0
135.72	0	0
135.72	0	0
135.72	0	0
135.72	0	0
135.72	0	0
135.72	0	0
135.72	0	0
135.72	0	0
135.72	0	0
135.72	0	0
135.72	0	0
135.73	0	0
135.73	0	0
135.73	0	0
135.73	0	0
135.73	0	0
135.73	0	0
135.73	0	0
135.73	0	0
135.73	0	0
135.73	0	0
135.73	0	0
135.73	0	0
135.73	0	0
135.73	0	0
135.73	0	0
135.73	0	0
135.73	0	0
135.73	0	0
135.73	0	0
135.74	0	0
135.74	0	0
135.74	0	0
135.74	0	0
135.74	0	0
135.74	0	0
135.74	0	0
135.74	0	0
135.74	0	0
135.74	0	0
135.74	0	0
135.74	0	0
135.74	0	0
135.74	0	0
135.74	0	0
135.74	0	0
135.74	0	0
135.74	0	0
135.74	0	0
135.75	0	0
135.75	0	0
135.75	0	0
135.75	0	0
135.75	0	0
135.75	0	0
135.75	0	0
135.75	0	0
135.75	0	0
135.75	0	0
135.75	0	0
135.75	0	0
135.75	0	0
135.75	0	0
135.75	0	0
135.75	0	0
135.75	0	0
135.75	0	0
135.75	0	0
135.75	0	0
135.76	0	0
135.76	0	0
135.76	0	0
135.76	0	0
135.76	0	0
135.76	0	0
135.76	0	0
135.76	0	0
135.76	0	0
135.76	0	0
135.76	0	0
135.76	0	0
135.76	0	0
135.76	0	0
135.76	0	0
135.76	0	0
135.76	0	0
135.76	0	0
135.76	0	0
135.77	0	0
135.77	0	0
135.77	0	0
135.77	0	0
135.77	0	0
135.77	0	0
135.77	0	0
135.77	0	0
135.77	0	0
135.77	0	0
135.77	0	0
135.77	0	0
135.77	0	0
135.77	0	0
135.77	0	0
135.77	0	0
135.77	0	0
135.77	0	0
135.77	0	0
135.78	0	0
135.78	0	0
135.78	0	0
135.78	0	0
135.78	0	0
135.78	0	0
135.78	0	0
135.78	0	0
135.78	0	0
135.78	0	0
135.78	0	0
135.78	0	0
135.78	0	0
135.78	0	0
135.78	0	0
135.78	0	0
135.78	0	0
135.78	0	0
135.78	0	0
135.79	0	0
135.79	0	0
135.79	0	0
135.79	0	0
135.79	0	0
135.79	0	0
135.79	0	0
135.79	0	0
135.79	0	0
135.79	0	0
135.79	0	0
135.79	0	0
135.79	0	0
135.79	0	0
135.79	0	0
135.79	0	0
135.79	0	0
135.79	0	0
135.79	0	0
135.79	0	0
135.8	0	0
135.8	0	0
135.8	0	0
135.8	0	0
135.8	0	0
135.8	0	0
135.8	0	0
135.8	0	0
135.8	0	0
135.8	0	0
135.8	0	0
135.8	0	0
135.8	0	0
135.8	0	0
135.8	0	0
135.8	0	0
135.8	0	0
135.8	0	0
135.8	0	0
135.81	0	0
135.81	0	0
135.81	0	0
135.81	0	0
135.81	0	0
135.81	0	0
135.81	0	0
135.81	0	0
135.81	0	0
135.81	0	0
135.81	0	0
135.81	0	0
135.81	0	0
135.81	0	0
135.81	0	0
135.81	0	0
135.81	0	0
135.81	0	0
135.81	0	0
135.82	0	0
135.82	0	0
135.82	0	0
135.82	0	0
135.82	0	0
135.82	0	0
135.82	0	0
135.82	0	0
135.82	0	0
135.82	0	0
135.82	0	0
135.82	0	0
135.82	0	0
135.82	0	0
135.82	0	0
135.82	0	0
135.82	0	0
135.82	0	0
135.82	0	0
135.83	0	0
135.83	0	0
135.83	0	0
135.83	0	0
135.83	0	0
135.83	0	0
135.83	0	0
135.83	0	0
135.83	0	0
135.83	0	0
135.83	0	0
135.83	0	0
135.83	0	0
135.83	0	0
135.83	0	0
135.83	0	0
135.83	0	0
135.83	0	0
135.83	0	0
135.83	0	0
135.84	0	0
135.84	0	0
135.84	0	0
135.84	0	0
135.84	0	0
135.84	0	0
135.84	0	0
135.84	0	0
135.84	0	0
135.84	0	0
135.84	0	0
135.84	0	0
135.84	0	0
135.84	0	0
135.84	0	0
135.84	0	0
135.84	0	0
135.84	0	0
135.84	0	0
135.85	0	0
135.85	0	0
135.85	0	0
135.85	0	0
135.85	0	0
135.85	0	0
135.85	0	0
135.85	0	0
135.85	0	0
135.85	0	0
135.85	0	0
135.85	0	0
135.85	0	0
135.85	0	0
135.85	0	0
135.85	0	0
135.85	0	0
135.85	0	0
135.85	0	0
135.86	0	0
135.86	0	0
135.86	0	0
135.86	0	0
135.86	0	0
135.86	0	0
135.86	0	0
135.86	0	0
135.86	0	0
135.86	0	0
135.86	0	0
135.86	0	0
135.86	0	0
135.86	0	0
135.86	0	0
135.86	0	0
135.86	0	0
135.86	0	0
135.86	0	0
135.87	0	0
135.87	0	0
135.87	0	0
135.87	0	0
135.87	0	0
135.87	0	0
135.87	0	0
135.87	0	0
135.87	0	0
135.87	0	0
135.87	0	0
135.87	0	0
135.87	0	0
135.87	0	0
135.87	0	0
135.87	0	0
135.87	0	0
135.87	0	0
135.87	0	0
135.87	0	0
135.88	0	0
135.88	0	0
135.88	0	0
135.88	0	0
135.88	0	0
135.88	0	0
135.88	0	0
135.88	0	0
135.88	0	0
135.88	0	0
135.88	0	0
135.88	0	0
135.88	0	0
135.88	0	0
135.88	0	0
135.88	0	0
135.88	0	0
135.88	0	0
135.88	0	0
135.89	0	0
135.89	0	0
135.89	0	0
135.89	0	0
135.89	0	0
135.89	0	0
135.89	0	0
135.89	0	0
135.89	0	0
135.89	0	0
135.89	0	0
135.89	0	0
135.89	0	0
135.89	0	0
135.89	0	0
135.89	0	0
135.89	0	0
135.89	0	0
135.89	0	0
135.9	0	0
135.9	0	0
135.9	0	0
135.9	0	0
135.9	0	0
135.9	0	0
135.9	0	0
135.9	0	0
135.9	0	0
135.9	0	0
135.9	0	0
135.9	0	0
135.9	0	0
135.9	0	0
135.9	0	0
135.9	0	0
135.9	0	0
135.9	0	0
135.9	0	0
135.91	0	0
135.91	0	0
135.91	0	0
135.91	0	0
135.91	0	0
135.91	0	0
135.91	0	0
135.91	0	0
